latitude,longitude,FID,OBJECTID,LABEL,NOTES,TYPE,ELEVATION,DEPTH,PROXIMITY,TEMPERATUR,WAYPOINT,COMMENT,LONGITUDE,LATITUDE,URL
-87.50889390,33.16817500,70,76,Seventh Day Adventist Church, ,Church,337.930000,0.000000,0.000000,0.000000, , ,-87.508890,33.168180, 
-87.50361590,33.16817500,71,77,Saint Lukes Church, ,Church,370.730000,0.000000,0.000000,0.000000, , ,-87.503620,33.168180, 
-87.54111700,33.16817510,72,78,Tuscaloosa Church of God, ,Church,203.410000,0.000000,0.000000,0.000000, , ,-87.541120,33.168180, 
-87.50778270,33.16928610,75,81,Saint Matthias Episcopal Church, ,Church,351.050000,0.000000,0.000000,0.000000, , ,-87.507780,33.169290, 
-87.48750440,33.16956370,76,82,First Assembly of God Church, ,Church,429.790000,0.000000,0.000000,0.000000, , ,-87.487500,33.169560, 
-87.50694930,33.16956380,77,83,Temple Emanuel (historical), ,Church,360.890000,0.000000,0.000000,0.000000, , ,-87.506950,33.169560, 
-87.54222810,33.16956390,78,84,First Freewill Baptist Church, ,Church,203.410000,0.000000,0.000000,0.000000, , ,-87.542230,33.169560, 
-87.54556160,33.16984170,79,85,Southside Church of the Nazarene, ,Church,193.570000,0.000000,0.000000,0.000000, , ,-87.545560,33.169840, 
-87.49389350,33.17067490,80,86,Skyland Boulevard Baptist Church, ,Church,413.390000,0.000000,0.000000,0.000000, , ,-87.493890,33.170670, 
-87.53472790,33.17206380,83,89,South Highlands Baptist Church, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.534730,33.172060, 
-87.62056370,33.17317520,84,90,Unity Baptist Church, ,Church,144.360000,0.000000,0.000000,0.000000, , ,-87.620560,33.173180, 
-87.52667220,33.17373040,85,91,Holy Spirit Catholic Church, ,Church,236.220000,0.000000,0.000000,0.000000, , ,-87.526670,33.173730, 
-87.49389350,33.17539700,87,93,First United Pentecostal Church, ,Church,380.580000,0.000000,0.000000,0.000000, , ,-87.493890,33.175400, 
-87.53861690,33.17567490,88,94,Southwood Church, ,Church,200.130000,0.000000,0.000000,0.000000, , ,-87.538620,33.175670, 
-87.62945280,33.17900840,89,95,Beautiful Zion African Methodist Episcopal Zion Church, ,Church,144.360000,0.000000,0.000000,0.000000, , ,-87.629450,33.179010, 
-87.52417210,33.18206350,93,99,Ridgecrest Baptist Church, ,Church,226.380000,0.000000,0.000000,0.000000, , ,-87.524170,33.182060, 
